,Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements,date,time_extracted,Day,Month,Year
28,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1.81E+15,2020-06-30 08:42:00+00:00,792,37,0.046717172,1,0,16,2,0,7,8,196,3,30-06-2020,08:42,30,6,2020
29,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2.11E+15,2020-06-30 08:36:00+00:00,117,3,0.025641026,0,0,3,0,0,0,0,20,0,30-06-2020,08:36,30,6,2020
30,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3.31E+15,2020-06-30 08:24:00+00:00,604,21,0.034768212,0,0,5,0,0,2,0,14,14,30-06-2020,08:24,30,6,2020
31,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,7.64E+14,2020-06-30 08:13:00+00:00,593,18,0.030354132,0,0,10,4,0,4,0,113,0,30-06-2020,08:13,30,6,2020
32,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2.77E+15,2020-06-30 01:36:00+00:00,657,3,0.00456621,0,0,1,0,0,0,2,0,0,30-06-2020,01:36,30,6,2020
33,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1.95E+15,2020-06-30 01:34:00+00:00,436,12,0.027522936,0,2,9,0,0,0,1,0,0,30-06-2020,01:34,30,6,2020
34,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3.06E+15,2020-06-29 23:36:00+00:00,2685,19,0.00707635,0,3,4,0,0,0,12,0,0,29-06-2020,23:36,29,6,2020
35,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9.84E+15,2020-06-29 21:23:00+00:00,98,1,0.010204082,0,0,0,0,0,0,1,0,0,29-06-2020,21:23,29,6,2020
36,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,6.82E+14,2020-06-29 18:55:00+00:00,542,0,0,0,0,0,0,0,0,0,0,0,29-06-2020,18:55,29,6,2020
37,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1.53E+15,2020-06-29 18:12:00+00:00,345,14,0.04057971,0,1,0,2,9,0,2,0,0,29-06-2020,18:12,29,6,2020
38,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5.88E+15,2020-06-29 18:09:00+00:00,782,130,0.166240409,0,2,1,1,2,0,10,114,114,29-06-2020,18:09,29,6,2020
39,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5.29E+15,2020-06-29 17:54:00+00:00,502,0,0,0,0,0,0,0,0,0,0,0,29-06-2020,17:54,29,6,2020
40,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3.31E+15,2020-06-29 17:54:00+00:00,250,1,0.004,0,0,1,0,0,0,0,0,0,29-06-2020,17:54,29,6,2020
41,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6.32E+15,2020-06-29 17:52:00+00:00,486,0,0,0,0,0,0,0,0,0,0,0,29-06-2020,17:52,29,6,2020
42,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2.00E+15,2020-06-29 17:52:00+00:00,280,5,0.017857143,0,1,1,0,0,0,3,0,0,29-06-2020,17:52,29,6,2020
43,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9.20E+15,2020-06-29 15:00:00+00:00,2739,50,0.018254838,3,1,10,3,0,0,11,820,22,29-06-2020,15:00,29,6,2020
44,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2.95E+15,2020-06-29 14:43:00+00:00,121,4,0.033057851,0,0,4,0,0,0,0,31,0,29-06-2020,14:43,29,6,2020
45,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9.55E+15,2020-06-29 13:46:00+00:00,234,2,0.008547009,0,1,1,0,0,0,0,0,0,29-06-2020,13:46,29,6,2020
46,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,4.96E+14,2020-06-29 12:40:00+00:00,1195,41,0.034309623,4,0,8,2,9,1,8,9,9,29-06-2020,12:40,29,6,2020
47,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1.79E+15,2020-06-29 11:35:00+00:00,68,0,0,0,0,0,0,0,0,0,13,0,29-06-2020,11:35,29,6,2020
48,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6.07E+15,2020-06-29 01:56:00+00:00,319,10,0.031347962,0,0,7,3,0,0,0,0,0,29-06-2020,01:56,29,6,2020
49,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci #tempor,7.17E+14,2020-06-29 00:46:00+00:00,320,7,0.021875,0,1,1,1,0,0,4,0,0,29-06-2020,00:46,29,6,2020
50,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in #aenean,8.54E+15,2020-06-28 22:42:00+00:00,134,8,0.059701493,0,1,5,0,0,0,2,0,0,28-06-2020,22:42,28,6,2020
51,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id #eros,7.32E+15,2020-06-28 20:55:00+00:00,153,2,0.013071895,0,1,1,0,0,0,0,0,0,28-06-2020,20:55,28,6,2020
52,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales,2.81E+15,2020-06-28 17:47:00+00:00,1925,239,0.124155844,3,1,10,1,1,0,23,200,200,28-06-2020,17:47,28,6,2020
53,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6.71E+15,2020-06-28 15:44:00+00:00,257,1,0.003891051,0,0,1,0,0,0,0,0,0,28-06-2020,15:44,28,6,2020
54,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse #primis,9.98E+15,2020-06-28 15:30:00+00:00,325,6,0.018461538,0,0,4,0,0,0,0,73,2,28-06-2020,15:30,28,6,2020
55,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis #a,6.22E+15,2020-06-28 15:19:00+00:00,765,11,0.014379085,0,1,5,1,0,0,4,110,0,28-06-2020,15:19,28,6,2020
56,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna #vel,8.23E+15,2020-06-27 19:01:00+00:00,236,14,0.059322034,0,0,2,0,0,0,12,0,0,27-06-2020,19:01,27,6,2020
57,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl #orci,9.57E+15,2020-06-27 17:55:00+00:00,151,2,0.013245033,0,1,0,0,0,0,1,0,0,27-06-2020,17:55,27,6,2020
58,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,3.80E+14,2020-06-27 15:32:00+00:00,5,0,0,0,0,0,0,0,0,0,0,0,27-06-2020,15:32,27,6,2020
59,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar #curabitur,4.43E+15,2020-06-27 15:05:00+00:00,287,12,0.041811847,0,0,5,0,0,0,6,38,1,27-06-2020,15:05,27,6,2020
60,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8.21E+15,2020-06-27 14:16:00+00:00,22,2,0.090909091,0,0,2,0,0,0,0,0,0,27-06-2020,14:16,27,6,2020
61,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et #cras,3.13E+15,2020-06-27 01:31:00+00:00,2408,40,0.016611296,0,2,15,2,0,0,21,0,0,27-06-2020,01:31,27,6,2020
62,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2.14E+15,2020-06-26 21:43:00+00:00,551,1,0.001814882,0,0,1,0,0,0,0,0,0,26-06-2020,21:43,26,6,2020
63,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #quam,9.21E+15,2020-06-26 21:42:00+00:00,225,8,0.035555556,0,1,3,0,0,0,4,0,0,26-06-2020,21:42,26,6,2020
64,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #non,8.46E+15,2020-06-26 21:35:00+00:00,171,5,0.029239766,0,1,1,0,0,0,1,47,2,26-06-2020,21:35,26,6,2020
65,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper #sem,2.53E+15,2020-06-26 21:26:00+00:00,110,7,0.063636364,0,1,1,3,2,0,0,0,0,26-06-2020,21:26,26,6,2020
66,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque #velit,6.89E+15,2020-06-26 20:59:00+00:00,866,194,0.224018476,0,0,18,2,1,0,13,160,160,26-06-2020,20:59,26,6,2020
67,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor #posuere,3.65E+15,2020-06-26 20:03:00+00:00,11496,1065,0.092640919,1,6,37,37,4,4,78,898,898,26-06-2020,20:03,26,6,2020
68,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #donec,5.73E+15,2020-06-26 19:32:00+00:00,1073,91,0.084808947,0,0,12,3,15,3,1,57,57,26-06-2020,19:32,26,6,2020
69,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet #mi,8.77E+15,2020-06-26 18:46:00+00:00,276,4,0.014492754,0,1,2,0,0,0,1,0,0,26-06-2020,18:46,26,6,2020
70,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo #cum,3.43E+14,2020-06-26 18:08:00+00:00,56,3,0.053571429,0,1,1,0,0,0,1,0,0,26-06-2020,18:08,26,6,2020
71,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non #a,2.37E+15,2020-06-26 17:51:00+00:00,131,4,0.030534351,0,0,1,0,0,0,0,27,3,26-06-2020,17:51,26,6,2020
72,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce #vestibulum,9.17E+15,2020-06-26 17:35:00+00:00,161,4,0.02484472,0,0,1,1,0,0,2,0,0,26-06-2020,17:35,26,6,2020
73,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient #ante,3.96E+15,2020-06-26 14:38:00+00:00,316,8,0.025316456,0,1,2,1,0,0,4,0,0,26-06-2020,14:38,26,6,2020
74,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla #quis,9.09E+15,2020-06-25 17:43:00+00:00,449,9,0.020044543,0,1,4,0,0,0,4,0,0,25-06-2020,17:43,25,6,2020
75,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris #sed,4.15E+15,2020-06-25 16:55:00+00:00,1244,38,0.030546624,1,3,4,4,0,2,21,236,3,25-06-2020,16:55,25,6,2020
76,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac #tempor,2.34E+15,2020-06-25 13:27:00+00:00,329,7,0.021276596,0,0,2,0,0,0,3,47,2,25-06-2020,13:27,25,6,2020
77,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est #sit,2.06E+15,2020-06-25 13:25:00+00:00,381,18,0.047244094,0,0,1,1,14,0,2,0,0,25-06-2020,13:25,25,6,2020
78,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere #neque,9.77E+15,2020-06-25 13:20:00+00:00,308,2,0.006493506,0,0,1,1,0,0,0,77,0,25-06-2020,13:20,25,6,2020
79,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque #nec,6.10E+15,2020-06-24 20:49:00+00:00,117,3,0.025641026,0,0,1,0,0,0,2,0,0,24-06-2020,20:49,24,6,2020
80,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna #odio,1.30E+15,2020-06-24 19:51:00+00:00,28,0,0,0,0,0,0,0,0,0,0,0,24-06-2020,19:51,24,6,2020
81,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu #pellentesque,1.16E+15,2020-06-24 18:45:00+00:00,307,12,0.039087948,0,2,2,1,1,0,6,102,0,24-06-2020,18:45,24,6,2020
82,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis #mauris,7.72E+15,2020-06-24 18:39:00+00:00,477,6,0.012578616,0,0,2,1,0,0,1,194,2,24-06-2020,18:39,24,6,2020
83,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu #malesuada,7.84E+14,2020-06-24 18:23:00+00:00,585,13,0.022222222,0,0,7,0,0,0,6,0,0,24-06-2020,18:23,24,6,2020
84,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat #tellus,3.00E+15,2020-06-24 18:23:00+00:00,1592,217,0.136306533,1,3,3,2,0,0,80,128,128,24-06-2020,18:23,24,6,2020
85,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis #ligula,5.61E+15,2020-06-24 17:14:00+00:00,676,0,0,0,0,0,0,0,0,0,0,0,24-06-2020,17:14,24,6,2020
86,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #suscipit,5.03E+15,2020-06-24 15:02:00+00:00,870,3,0.003448276,0,1,2,0,0,0,0,0,0,24-06-2020,15:02,24,6,2020
87,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus #elit,8.96E+15,2020-06-24 13:23:00+00:00,171,6,0.035087719,0,0,0,0,0,0,0,40,6,24-06-2020,13:23,24,6,2020
88,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum #maecenas,6.86E+15,2020-06-24 12:00:00+00:00,537,9,0.016759777,0,0,2,0,0,0,7,0,0,24-06-2020,12:00,24,6,2020
89,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in #tortor,8.34E+13,2020-06-23 17:23:00+00:00,206,2,0.009708738,0,1,1,0,0,0,0,0,0,23-06-2020,17:23,23,6,2020
90,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor #ipsum,4.64E+14,2020-06-23 16:05:00+00:00,551,3,0.005444646,0,1,1,0,0,0,1,0,0,23-06-2020,16:05,23,6,2020
91,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus #ut,7.87E+15,2020-06-23 15:15:00+00:00,1140,14,0.012280702,0,0,10,4,0,0,0,0,0,23-06-2020,15:15,23,6,2020
92,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl #elit,5.07E+15,2020-06-23 15:14:00+00:00,197,4,0.020304569,0,0,2,0,0,0,2,0,0,23-06-2020,15:14,23,6,2020
93,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium #odio,4.96E+15,2020-06-23 14:50:00+00:00,833,33,0.039615846,1,1,0,4,0,0,11,0,0,23-06-2020,14:50,23,6,2020
94,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed #luctus,3.86E+15,2020-06-23 12:18:00+00:00,1082,15,0.013863216,0,4,3,2,0,0,6,160,0,23-06-2020,12:18,23,6,2020
95,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient #risus,6.56E+15,2020-06-22 20:52:00+00:00,1179,9,0.007633588,0,0,5,2,0,0,2,0,0,22-06-2020,20:52,22,6,2020
96,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus #nisi,7.55E+15,2020-06-22 18:40:00+00:00,883,12,0.013590034,0,0,8,2,0,0,2,0,0,22-06-2020,18:40,22,6,2020
